,课程名称,面向对象,课时,学年起始,学年终止,学期,选课人数,开设单位,备注
21,碳管理学,校选修课,6,2025,2026,1,41,华北电力大学,承担8学时
22,碳管理学,"沙河高校联盟""碳管理学""微专业课程",12,2025,2026,1,11,华北电力大学,承担12学时
16,销售管理,市场营销专业三年级本科生,32,2024,2025,2,27,华北电力大学,0
17,PYTHON数据分析（B）,全校本科生,32,2024,2025,2,100,华北电力大学,0
18,能源系统模型,工管、工商本科专业留学生,32,2024,2025,2,36,华北电力大学,0
19,碳管理学,校选修课,8,2024,2025,2,242,华北电力大学,承担8学时
20,工商管理导论,工商管理大一,16,2024,2025,2,223,华北电力大学,承担2学时
15,碳管理学,校选修课,8,2024,2025,1,3,华北电力大学,承担8学时
11,碳管理学,校选修课,8,2023,2024,2,40,华北电力大学,承担8学时
12,销售管理,市场营销专业三年级本科生,32,2023,2024,2,26,华北电力大学,0
13,PYTHON数据分析（B）,全校本科生,32,2023,2024,2,78,华北电力大学,0
14,能源系统模型,工管、工商本科专业留学生,32,2023,2024,2,56,华北电力大学,0
10,碳管理学,校选修课,8,2023,2024,1,37,华北电力大学,承担8学时
7,销售管理,市场营销专业三年级本科生,32,2022,2023,2,26,华北电力大学,0
8,PYTHON数据分析（B）,全校本科生,32,2022,2023,2,36,华北电力大学,0
9,能源系统模型,工管、工商本科专业留学生,32,2022,2023,2,71,华北电力大学,0
6,技术经济学,工科专业二年级本科生,24,2022,2023,1,506,中国石油大学（北京）克拉玛依校区,援疆教师
0,Python 大数据分析,全校本科生,40,2021,2022,2,61,华北电力大学,0
3,销售管理,市场营销专业三年级本科生,32,2021,2022,2,34,华北电力大学,0
5,营销专业英语阅读,市场营销专业三年级本科生,32,2021,2022,2,8,华北电力大学,0
1,Python 大数据分析,全校本科生,40,2020,2021,2,51,华北电力大学,0
4,销售管理,市场营销专业三年级本科生,16,2020,2021,2,23,华北电力大学,0
2,Python 大数据分析,全校本科生,40,2019,2020,2,28,华北电力大学,0
